team,year,class,hex_color
Peugeot MC Saxoprint,2017,moto3,#192594
Marinelli Rivacold Snipers,2017,moto3,#4682B4
AGR Team,2017,moto3,#DC143C
SIC Racing Team,2017,moto3,#192594
SKY Racing Team VR46,2017,moto3,#95A003
Leopard Racing,2017,moto3,#228B8B
CIP,2017,moto3,#047504
SIC58 Squadra Corse,2017,moto3,#FF1493
Platinum Bay Real Estate,2017,moto3,#192594
British Talent Team,2017,moto3,#192594
RBA BOE Racing Team,2017,moto3,#125A12
Del Conca Gresini Moto3,2017,moto3,#4169E1
Red Bull KTM Ajo,2017,moto3,#FF6600
Honda Team Asia,2017,moto3,#FF4500
"Estrella Galicia 0,0",2017,moto3,#FFD700
Aspar Mahindra Moto3,2017,moto3,#DC143C
Althea Racing,2017,moto3,#192594
Minimoto Portomaggiore,2017,moto3,#192594
Südmetall Schedl GP Racing,2017,moto3,#192594
Reale Avintia Academy,2017,moto3,#2F4F4F
42 Motorsport,2017,moto3,#192594
Mahindra MRW Aspar Team,2017,moto3,#DC143C
MH6 Team,2017,moto3,#192594
Sky Junior Team VR46 Academy,2017,moto3,#95A003
Asia Talent Team,2017,moto3,#192594
Motomex Team Moto3,2017,moto3,#192594
Freudenberg Racing Team,2017,moto3,#192594
City Lifting/RS Racing,2017,moto3,#192594
Petronas Sprinta Racing,2017,moto3,#0059FF
Lamotec Lagemaat Racing,2017,moto3,#192594
Mahindra Gaviota Aspar,2017,moto3,#DC143C
3570-MTA,2017,moto3,#192594
Cube Racing,2017,moto3,#192594
Motorsport Kofler E.U.,2017,moto3,#192594
Junior Team VR46 Riders Academy,2017,moto3,#95A003
Cuna de Campeones,2017,moto3,#192594
Honda Team Asia,2024,moto3,#FF4500
MT Helmets - MSI,2024,moto3,#000000
SIC58 Squadra Corse,2024,moto3,#FF1493
LEVELUP - MTA,2024,moto3,#192594
Red Bull GASGAS Tech3,2024,moto3,#B8500A
Kopron Rivacold Snipers Team,2024,moto3,#4682B4
FleetSafe Honda - MLav Racing,2024,moto3,#FF4500
Liqui Moly Husqvarna Intact GP,2024,moto3,#D1002D
Leopard Racing,2024,moto3,#228B8B
CIP Green Power,2024,moto3,#047504
BOE Motorsports,2024,moto3,#125A12
CFMOTO Gaviota Aspar Team,2024,moto3,#DC143C
Red Bull KTM Ajo,2024,moto3,#FF6600
MLav Racing,2024,moto3,#192594
Rivacold Snipers Team,2024,moto3,#4682B4
CFMOTO Valresa Aspar Team,2024,moto3,#DC143C
Fibre Tec Honda - MLav Racing,2024,moto3,#FF4500
CFMOTO Aspar Team,2024,moto3,#DC143C
CIP-Unicom Starker,2016,moto3,#047504
Gresini Racing Moto3,2016,moto3,#4169E1
MH6 Team,2016,moto3,#192594
Drive M7 SIC Racing Team,2016,moto3,#192594
SKY Racing Team VR46,2016,moto3,#95A003
"Estrella Galicia 0,0",2016,moto3,#FFD700
RW Racing GP BV,2016,moto3,#4169E1
Peugeot MC Saxoprint,2016,moto3,#192594
RBA Racing Team,2016,moto3,#192594
Leopard Racing,2016,moto3,#228B8B
Gaviota Mahindra ASPAR,2016,moto3,#8B0000
Ongetta-Rivacold,2016,moto3,#4682B4
Platinum Bay Real Estate,2016,moto3,#192594
Red Bull KTM Ajo,2016,moto3,#FF6600
3570 Team Italia,2016,moto3,#192594
Mahindra Racing,2016,moto3,#8B0000
Schedl GP Racing,2016,moto3,#192594
Minimoto Portomaggiore,2016,moto3,#192594
Honda Team Asia,2016,moto3,#FF4500
MRW Mahindra Aspar Team,2016,moto3,#DC143C
ASPAR Mahindra Team Moto3,2016,moto3,#8B0000
Procercasa - 42 Motorsport,2016,moto3,#192594
MH6 Laglisse,2016,moto3,#192594
Pull & Bear Aspar Mahindra Team,2016,moto3,#DC143C
GA Competicion,2016,moto3,#192594
Freundenberg Racing Team,2016,moto3,#192594
Pull & Bear ASPAR Mahindra Team,2016,moto3,#8B0000
Freudenberg Racing Team,2016,moto3,#192594
KRM-RZT,2016,moto3,#192594
Suus Honda FTR,2016,moto3,#FF4500
UQ & TELURU KOHARA RT,2016,moto3,#192594
41 Planning IodaRacing Japan,2016,moto3,#9932CC
Motomex Team Worldwide Race,2016,moto3,#192594
Honda Team Asia,2025,moto3,#FF4500
FRINSA - MT Helmets - MSI,2025,moto3,#000000
GRYD - Mlav Racing,2025,moto3,#192594
Rivacold Snipers Team,2025,moto3,#4682B4
Red Bull KTM Tech3,2025,moto3,#B8500A
DENSSI Racing - BOE,2025,moto3,#125A12
LEVELUP-MTA,2025,moto3,#192594
CIP Green Power,2025,moto3,#047504
Leopard Racing,2025,moto3,#228B8B
CFMOTO Valresa Aspar Team,2025,moto3,#DC143C
SIC58 Squadra Corse,2025,moto3,#FF1493
LIQUI MOLY Dynavolt Intact GP,2025,moto3,#D1002D
Red Bull KTM Ajo,2025,moto3,#FF6600
CFMOTO Gaviota Aspar Team,2025,moto3,#DC143C
Angeluss - Mlav Racing,2025,moto3,#192594
Liqui Moly Dynavolt Intact GP,2025,moto3,#D1002D
CFMOTO Viel Aspar Team,2025,moto3,#DC143C
Ioda Team Italia,2012,moto3,#192594
Team Italia FMI,2012,moto3,#192594
JHK t-shirt Laglisse,2012,moto3,#192594
Caretta Technology,2012,moto3,#192594
Racing Team Germany,2012,moto3,#192594
Red Bull KTM Ajo,2012,moto3,#FF6600
Ambrogio Next Racing,2012,moto3,#192594
Mahindra Racing,2012,moto3,#8B0000
Andalucia JHK t-shirt Laglisse,2012,moto3,#192594
Blusens Avintia,2012,moto3,#2F4F4F
San Carlo Gresini Moto3,2012,moto3,#4169E1
Ongetta-Centro Seta,2012,moto3,#192594
TT Motion Events Racing,2012,moto3,#192594
Team Imperiali Racing,2012,moto3,#192594
RW Racing GP,2012,moto3,#4169E1
"Estrella Galicia 0,0",2012,moto3,#FFD700
Technomag-CIP-TSR,2012,moto3,#047504
Moto FGR,2012,moto3,#192594
Mapfre Aspar Team Moto3,2012,moto3,#DC143C
AirAsia-Sic-Ajo,2012,moto3,#192594
Elle 2-Ciatti,2012,moto3,#192594
